FLEET,GEAR_CODE,SCHOOL_TYPE_CODE,FISHERY,A0.1,A0.2,A1,A2,A3.1,A3.2,A3.3,A0.3,A0.4,A0.5
AUS,BB,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
BHR,GILL,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
IDN,DSEI,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
IDN,PSS,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
IND  ,BB,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
IND,PSS,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
JOR,PSS,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
LKA,RIN,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
LKA,RNOF,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
MDV,BB,FS,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
MDV,BB,LA,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
MDV,BB,LS,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
MDV,BB,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
MDV,BBM,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
MDV,BBN,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
MDV,BBOF,FS,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
MDV,BBOF,LA,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
MDV,BBOF,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
TZA,BB,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
TZA,PSS,UNCL,BB,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
BLZ,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
CHN,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
IDN,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
IND,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
LKA,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
MDV,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
MUS,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
MYS,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
NEICE,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
NEIDN,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
NEI-ICE,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
NEI-IDN,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
SYC,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
THA,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
TWN,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
TZA,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
VUT,FLL,UNCL,FL,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
AUS,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
BGD,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
COM,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
EUFRA,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
EUMYT,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
EUREU,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
FRAT,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
IDN,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
IDN,LLCO,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
IND,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
IND,LLCO,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
JOR,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
KEN,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
LKA,G/L,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
LKA,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
LKA,HLOF,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
LKA,LLCO,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
MDV,HAND,FD,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
MDV,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
MDV,HLOF,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
MDV,LLCO,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
MOZ,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
SYC,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
TZA,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
YEM,HAND,UNCL,LINE,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2
AUS,ELL,UNCL,LL,A1,A2,A1,A2,A3,A3,A3,A3,A3,A3
